"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"20716","ARHGAP20",-3.65165680020431,8.28569953192552,-18.4321961892535,4.19786365243515e-42,4.49986290225446e-39,85.2052666904097
"1357","GIPC2",-3.3029024084601,7.51291791833122,-18.4163434511148,4.62354498016266e-42,4.81456343848595e-39,85.109534416161
"30242","GNAL",-2.62349665289672,8.67989418756461,-18.3935058394364,5.31405395231931e-42,5.37988917628415e-39,84.9715699695344
"11198","BTNL9",-4.23202212668284,10.047362745754,-18.346097271328,7.09575229231512e-42,6.98950778501937e-39,84.6849757087652
"14556","AUXG01000058.1",-4.66880841595065,8.51155096677573,-18.322825201195,8.17863047542367e-42,7.8441675344024e-39,84.5441957555868
"6784","ADAMTS9-AS2",-3.90762263898289,6.41230215006902,-18.282129358393,1.04859637750682e-41,9.61510959651353e-39,84.2978630292915
"5640","LINC01614",5.2688495253063,4.77792955276227,18.281090566413,1.05527186484262e-41,9.61510959651353e-39,84.2915726906499
"20962","HEPACAM",-5.48866782048296,5.06884369470273,-18.2628576743311,1.17963180569577e-41,1.04860636074117e-38,84.1811442544718
"11628","NKAPL",-2.82726705420528,5.37726644259503,-18.2373159288065,1.37895656522644e-41,1.19572075055707e-38,84.0263847868444
"7528","MME",-4.4434011126903,11.57663007807,-18.2335884602319,1.41074445135142e-41,1.19572075055707e-38,84.0037934628456
"9750","LIFR",-3.18514003639955,11.8638929312288,-18.2147419462677,1.58308063392065e-41,1.31129447236072e-38,83.8895445841434
"28389","TMEM220",-2.61166481660548,8.24497769021433,-18.2013646428828,1.71807670479428e-41,1.39148941295405e-38,83.8084256164366
"10946","LINC02202",-3.30301168039357,5.89116767659583,-18.1812437901147,1.94318510917966e-41,1.53959401063396e-38,83.686375504073
"10337","TSLP",-4.26250522806485,5.67928218625526,-18.1702006404405,2.07907432627875e-41,1.61221155096926e-38,83.6193696219861
"33551","UBE2C",4.32720773827162,8.53604850882637,18.1369232752683,2.54898202544047e-41,1.93542081040007e-38,83.417369873526
"2158","NPR1",-3.45512818963856,10.4495652653859,-18.0997892643066,3.20024713480575e-41,2.37387052937671e-38,83.19180989772
"18776","HPSE2",-4.84504542383176,6.44372251540395,-18.096936717261,3.25669556244404e-41,2.37387052937671e-38,83.1744763954013
"9897","AC025470.2",-4.67097077463708,4.47602193766228,-18.0758124067326,3.70700869755974e-41,2.59537880754572e-38,83.0460856249929
"15285","SCARA5",-6.41431858217054,8.97912904002322,-18.0752985966386,3.71870704475418e-41,2.59537880754572e-38,83.0429621211888
"2853","LMOD1",-2.89227923450292,11.1185188994622,-18.072882444291,3.77421601272906e-41,2.59537880754572e-38,83.0282736820246
"20341","LINC01537",-3.72994430569779,5.14265313811688,-17.9949006876848,6.09063415393317e-41,4.11072689581941e-38,82.5538451428883
"1249","CACHD1",-2.66936424179953,10.4422412497748,-17.9740041655521,6.92477260557405e-41,4.58873204332276e-38,82.4265968684964
"113","GABRD",3.27791740842135,5.87299047120345,17.9233138249748,9.4561214670337e-41,6.15424648191983e-38,82.1177157337856
"14929","DPP6",-4.1635341518063,5.29410067350881,-17.9173531324513,9.80916421662757e-41,6.25973290832231e-38,82.0813752740869
"15268","ADRA1A",-4.87667158736334,5.37792546449424,-17.9148438578075,9.96171071400686e-41,6.25973290832231e-38,82.0660758230932
"26454","HAGHL",3.42191836308368,7.27431457253937,17.887014474823,1.18217706570946e-40,7.30264836217748e-38,81.8963481353161
"16811","AQP7P1",-4.69827024108077,3.90116960517864,-17.8737621480276,1.28262675234257e-40,7.79110243597952e-38,81.8154933958948
"17198","PGAP4",-2.574484644962,7.86082857145231,-17.867986560492,1.32904161310183e-40,7.94069682477204e-38,81.7802493741456
"36318","PRRG3",-3.9510487615595,6.7295035349135,-17.8483529126745,1.49979431774809e-40,8.81637156526564e-38,81.6604121970749
"26835","MYH11",-3.9178663097139,12.7187799804413,-17.8031414901908,1.98143670052097e-40,1.14627685693948e-37,81.3842930023535
"30149","MYOM1",-3.74867833932951,8.57902054361153,-17.7483055493508,2.77847345103458e-40,1.58225380306885e-37,81.0490884637411
